				
גאנק פוד חלוקה לפי מנות 	 חלבון	 פחמימה	שומן	קלוריות
המבורגר 				
לחמניה		3		300
קציצה 200 גרם	1.5		3	525
תוספת גבינה 	0.5			75
ציפס (100 ג')		3.5		350
כף מיונז/ רוטב שום/ איולי			1	100
כף צ'לי מתוק או חריף		0.5		50
2 כפות: קטשופ / ברביקיו  / אלף האיים/ רוטב שום		0.5		50
סושי				
רול סושי לא מטוגן- צמחוני ללא דג\טופו		2.5		250
רול סושי לא מטוגן - דג וירקות	1	2		350
רול סושי לא מטוגן - דג ירקות ותוספת אבוקדו\גבינת שמנת 	1	2	0.5	400
רול סושי לא מטוגן אינסיידאאוט בתוספת דג וירקות + תוספת דג מעל הרול	1.5	2	0.5	450
כף סויה\טריאקי		0.25		25
כף ספייסי מיונז			1	100
פיצה				
גודל M תוספת ירקות	0.5	1.5		250
גודל M תוספת זיתים	0.5	1.5	0.5	300
גודל M תוספת בשר\טונה\גבינת עיזים\אקסטרה גבינה	1	1.5		300
פלאפל				
פיתה		2.5		250
2 כדורי פלאפל		1.5		150
כף חומוס		1		100
סביח				
פיתה 	0.5	2		250
ביצה	0.5			75
חציל מטוגן (6 פרוסות)			1.5	150
תפוח אדמה בינוני 		1		100
כף טחינה מוכנה 		0.5		50
כף עמבה 		1		100
				
חומוס				
מנת חומוס ממוצעת	1	1.5	1	400
פיתה		2.5		250
ביצה	0.5			80
כף טחינה\שמן זית			1	100
רביולי/ פסטה				
פסטה ברוטב שמנת (100 ג')		1	0.5	150
רביולי בטטה (100 ג') ברוטב שמנת	0.5	1	0.5	200
רביולי גבינות (100 ג') ברוטב שמנת	1	1	1	250
אלכוהול				
1\3 בירה		1.5		150
1\2 בירה		2.5		225
כוס יין לבן מבעבע 		1		100
כוס יין לבן מתוק		1.5		150
כוס יין אדום		1.5		150
2 צייסרים ערק\וודקה\טקילה\גין		1.5		150
קוקטייל ממוצע		2.5		250
מאפים 				
מאפין שוקולד 		2.5	1.5	400
קרואסון קטן 	0.5	1	1	250
קרואסון גדול 	0.5	2	2	475
רוגלך 		1	1	200
בורקס קטן בצק פילו/עלים (יחידה)	0.5	1	1	275
גלידות 				
גביע גלידה 		0.5		50
כף רוטב בייגלה/ שוקולד/ 		1		100
כדור סורבה 		1.5		150
כדור גלידה איטלקית וניל/ שוקולד/  טעמים שונים (120-140 ג' לכדור)	0.5	1	1	250
יוגורט קטן (150 ג')		1.5	0.5	200
תוספות ליוגורט				
3 כפות פירות		1		100
3 כפות עוגיות/ שוקולד/		2		200
